year,ac_number,constituency,region,reserved,winner_candidate,winner_party,winner_party_raw,winner_votes,runner_up_candidate,runner_up_party,runner_up_votes,margin,margin_pct,winner_vote_share_pct,total_valid_votes
2021,149,Ariyalur,Central,GEN,CHINNAPPA K,DMK,DMK,103975,RAJENDRAN S,AIADMK,100741,3234,1.435897435897436,46.164946164946166,225225
2021,150,Jayankondam,Central,GEN,KANNAN KA SO KA,DMK,DMK,99529,BALU K,PMK,94077,5452,2.519781113658212,45.99987059084523,216368
2021,151,Tittakudi,Central,SC,"GANESAN,  C.V.",DMK,DMK,83726,"PERIYASAMY,  D.",BJP,62163,21563,12.82107691575893,49.78238120154117,168184
2021,152,Vriddhachalam,Central,GEN,Radhakrishnan,INC,INC,77064,Karthikeyan. J,PMK,76202,862,0.4381550723311679,39.17167342706395,196734
2021,153,Neyveli,Central,GEN,SABA.RAJENDRAN,DMK,DMK,75177,JAGAN.K,PMK,74200,977,0.5952598549929934,45.80332663132882,164130
2021,154,Panruti,Central,GEN,VELMURUGAN.T,DMK,DMK,93801,RAJENDRAN.R,AIADMK,89104,4697,2.3836710665874983,47.602880501804115,197049
2021,155,Cuddalore,Central,GEN,G.IYAPPAN,DMK,DMK,84563,M.C.SAMPATH,AIADMK,79412,5151,2.83020422964709,46.462931522354275,182001
2021,156,Kurinjipadi,Central,GEN,M.R.K.PANNEERSELVAM,DMK,DMK,101456,SELVI RAMAJAYAM,AIADMK,83929,17527,8.817241084409476,51.03908321217823,198781
2021,157,Bhuvanagiri,Central,GEN,Arunmozhithevan. A,AIADMK,AIADMK,96453,Saravanan. Durai.K,DMK,88194,8259,4.1888773362412195,48.919940151649634,197165
2021,158,Chidambaram,Central,GEN,K.A. PANDIAN,AIADMK,AIADMK,91961,S. ABDUL RAHMAN,OTHERS,75024,16937,9.237423098739038,50.15543871896679,183352
2021,159,Kattumannarkoil,Central,SC,SINTHANAI SELVAN,VCK,VCK,86056,N. MURUGUMARAN,AIADMK,75491,10565,6.0178513451165125,49.01772033652121,175561
2021,160,Sirkali,Delta,SC,PANNEERSELVAM,DMK,DMK,94057,P.V.BHARATHI,AIADMK,81909,12148,6.349405461910362,49.16085195348229,191325
2021,161,Mayiladuthurai,Delta,GEN,Rajakumar.S,INC,INC,73642,Palanisamy.A,PMK,70900,2742,1.5700870361887311,42.16788822721026,174640
2021,162,Poompuhar,Delta,GEN,Nivedha M. Murugan,DMK,DMK,96102,S.Pavunraj,AIADMK,92803,3299,1.5872939500957477,46.23889760294075,207838
2021,163,Nagapattinam,Delta,GEN,J. Mohamed Shanavas,VCK,VCK,66281,Thanka.kathiravan,AIADMK,59043,7238,5.041794371691279,46.169545834494286,143560
2021,164,Kilvelur,Delta,SC,NAGAIMAALI V P,CPI(M),CPI(M),67988,VADIVEL RAVANAN  S,PMK,51003,16985,11.87803769362565,47.545718381761596,142995
2021,165,Vedaranyam,Delta,GEN,O.S.MANIAN,AIADMK,AIADMK,78719,S.K.VETHARATHINAM,DMK,66390,12329,7.800202454764013,49.80323927622422,158060
2021,166,Thiruthuraipundi,Delta,SC,MARIMUTHU K,CPI,CPI,97092,SURESH KUMAR C,AIADMK,67024,30068,16.175505417298773,52.23201316936187,185886
2021,167,Mannargudi,Delta,GEN,RAJAA T R B,DMK,DMK,87172,RAJAMANICKAM  SIVA,AIADMK,49779,37393,19.35165011463083,45.11331114894762,193229
2021,168,Thiruvarur,Delta,GEN,KALAIVANAN  POONDI  K.,DMK,DMK,108906,PANNERSELVAM A.N.R.,AIADMK,57732,51174,24.56863027509722,52.28575543713092,208290
