year,ac_number,constituency,region,reserved,winner_candidate,winner_party,winner_party_raw,winner_votes,runner_up_candidate,runner_up_party,runner_up_votes,margin,margin_pct,winner_vote_share_pct,total_valid_votes
2026,122,Kinathukadavu,Kongu,GEN,VIGNESH K,TVK,TVK,99950,SABARI KARTHIKEYAN K.V.K.S,DMK,88240,11710,4.370756614921786,37.306329945468185,267917
2026,123,Pollachi,Kongu,GEN,K. NITHYANANDHAN,DMK,DMK,62013,POLLACHI V. JAYARAMAN,AIADMK,57386,4627,2.5535883794344247,34.2242654363231,181196
2026,124,Valparai,Kongu,SC,KUTTY (ALIAS) SUDHAKAR. A,DMK,DMK,54671,DR. SRIDHARAN. A,TVK,45300,9371,6.229434092706955,36.342908044219605,150431
2026,125,Udumalaipettai,Kongu,GEN,JAYAKUMAR M.,DMK,DMK,68549,RADHAKRISHNAN K.,AIADMK,65667,2882,1.4156944615006755,33.67260223504851,203575
2026,126,Madathukulam,Kongu,GEN,R JAYARAMAKRISHNAN,DMK,DMK,70458,C SHANMUGAVELU,AMMK,54490,15968,8.482382376533208,37.428087267395846,188249
2026,127,Palani,South,GEN,RAVIMANOHARAN. K,AIADMK,AIADMK,66986,DR. PRAVEEN KUMAR. M,TVK,66293,693,0.3321845086018052,32.109251793940146,208619
2026,128,Oddanchatram,South,GEN,SAKKARAPANI. R,DMK,DMK,93099,VIDIYAL S. SEKAR,BJP,49850,43249,21.45032337420148,46.174562552077134,201624
2026,129,Athoor,South,GEN,I. PERIASAMY,DMK,DMK,106240,N. KALAISELVI,TVK,83872,22368,9.430692756226206,44.79241766905723,237183
2026,130,Nilakkottai,South,SC,AYYANAR.R,TVK,TVK,68580,NAGAJOTHI.S,DMK,65655,2925,1.4803155982246334,34.707707256836024,197593
2026,131,Natham,South,GEN,NATHAM VISWANATHAN R,AIADMK,AIADMK,85708,SELVAKUMAR K,DMK,73839,11869,4.963201471941122,35.840093668980515,239140
2026,132,Dindigul,South,GEN,SENTHILKUMAR. I.P,DMK,DMK,74489,NAZEER RAJA. G,TVK,73358,1131,0.5334301777157302,35.132343508282084,212024
2026,133,Vedasandur,South,GEN,SAMINATHAN. T,DMK,DMK,84948,PARAMASIVAM. V.P.B.,AIADMK,74885,10063,4.441766642831289,37.49569639026457,226554
2026,134,Aravakurichi,Kongu,GEN,ELANGO. R,DMK,DMK,70827,KARTHIKEYAN. P,TVK,51445,19382,10.703674659538983,39.11408343365842,181078
2026,135,Karur,Kongu,GEN,M.R. VIJAYABHASKAR,AIADMK,AIADMK,71542,MATHIYALAGAN  V.P,TVK,69721,1821,0.8398323102537022,32.994663997896964,216829
2026,136,Krishnarayapuram,Kongu,SC,SATHYA. M,TVK,TVK,62378,DR. DHIVYA. S,AIADMK,58875,3503,1.8499448132363736,32.9420090094372,189357
2026,137,Kulithalai,Kongu,GEN,SURIYANUR. A. CHANDRAN,DMK,DMK,68138,G.BALASUBRAMANI,TVK,67559,579,0.2769129230813378,32.58772496185871,209091
2026,138,Manapparai,Delta,GEN,R. KATHIRAVAN,TVK,TVK,83041,DR. PL. VIJAYAKUMAR,AIADMK,81615,1426,0.5911713982488724,34.42599164234545,241216
2026,139,Srirangam,Delta,GEN,RAMESH,TVK,TVK,103235,S. DURAIRAJ,DMK,69645,33590,13.173323921014962,40.48669529580171,254985
2026,140,Tiruchirappalli (West),Delta,GEN,K.N.NEHRU,DMK,DMK,88235,G.RAMAMOORTHI,TVK,83449,4786,2.437521327038356,44.9382980132113,196347
2026,141,Tiruchirappalli (East),Delta,GEN,C. JOSEPH VIJAY,TVK,TVK,91381,S. INIGO IRUDAYARAJ,DMK,63965,27416,15.023041979692373,50.07370145704218,182493
2026,142,Thiruverumbur,Delta,GEN,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,TVK,89837,ANBIL MAHESH POYYAMOZHI,DMK,81132,8705,4.075698908621004,42.06186821984896,213583
2026,143,Lalgudi,Delta,GEN,LEEMAROSE MARTIN,AIADMK,AIADMK,60795,KU PA KRISHNAN,TVK,58056,2739,1.4788378785506417,32.824369779659094,185213
2026,144,Manachanallur,Delta,GEN,KATHIRAVAN. S,DMK,DMK,81447,V.SARAVANAN,TVK,69083,12364,5.8937934979502336,38.824959481361425,209780
2026,145,Musiri,Delta,GEN,M.VIGNESH,TVK,TVK,71281,N.S.KARUNAIRAAJA,DMK,53839,17442,9.221691753770997,37.68669934070349,189141
2026,146,Thuraiyur,Delta,SC,RAVISANKAR.M,TVK,TVK,66263,E.SAROJA,AIADMK,56649,9614,5.2129309316473815,35.92931582314858,184426
